date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
08-Sep-06,B,no,con,32,1,5,7,7,0,,,,,0,0,0,0,0.5,0.301029996,0.77815125,0,0,0.070769737,-3,-0.3,,,,,,,
08-Sep-06,C,no,con,33,1,3,0,0,0,,,,,0,0,0,0,0.5,0.301029996,0.602059991,0,0,0.070769737,-5,-1,,,,,,,
08-Sep-06,D,no,con,34,2,0,1,1,0,,,,,0,0,0,0,0,0.477121255,0,0,0,0,-1,-0.5,,,,,,,
08-Sep-06,E,no,con,35,0,4,0,0,0,,,,,0,0,0,0,0,0,0.698970004,0,0,0,0,#DIV/0!,,,,,,,
08-Sep-06,F,no,con,36,4,14,1,1,0,,,,,0.5,0,0,0.5,0,0.698970004,1.176091259,0,0.070769737,0,0,0,,,,,,,
06-Oct-06,A,yes,in,1,0,0,2,3,23,0,0,0,0.18,0,0,0,0,0.5,0,0,1.380211242,0,0.070769737,-1,-0.333333333,3,0.272727273,,,,,
06-Oct-06,B,yes,in,2,7,5,9,9,2,0,0,0,1.18,0,0,0,0,3.277777778,0.903089987,0.77815125,0.477121255,0,0.182050271,0,0,-6,-0.2,,,,,
06-Oct-06,C,yes,in,3,1,2,5,5,24,0,0,0,0.54,0,0,0,0,1.5,0.301029996,0.477121255,1.397940009,0,0.122782759,-1,-0.166666667,-5,-0.238095238,,,,,
06-Oct-06,D,yes,in,4,0,0,3,3,8,0,0,0,0.18,0,0,0,0,0.5,0,0,0.954242509,0,0.070769737,-2,-0.4,3,0.272727273,,,,,
06-Oct-06,E,yes,in,5,4,0,2,2,7,0,0,0,1,0,0,0,0,2.777777778,0.698970004,0,0.903089987,0,0.167448079,0,0,-2,-0.333333333,,,,,
06-Oct-06,F,yes,in,6,3,3,1,4,0,6,0,0,0.18,16.66666667,0,0,16.66666667,0.5,0.602059991,0.602059991,0,0.420534335,0.070769737,-1,-0.5,4,0.8,,,,,
06-Oct-06,A,yes,out,7,0,0,,,10,0,0,0,0,0,0,0,0,0,0,0,1.041392685,0,0,,,,,,,,,
06-Oct-06,B,yes,out,8,0,0,,,5,14,14,0,8,38.88888889,38.88888889,0,77.77777778,22.22222222,0,0,0.77815125,1.079913649,0.490882678,,,,,,,,,
06-Oct-06,C,yes,out,9,1,3,,,7,30,0,0,0.54,83.33333333,0,0,83.33333333,1.5,0.301029996,0.602059991,0.903089987,1.150261992,0.122782759,,,,,,,,,
06-Oct-06,D,yes,out,10,1,2,,,19,3,0,0,0.36,8.333333333,0,0,8.333333333,1,0.301029996,0.477121255,1.301029996,0.292842772,0.100167421,,,,,,,,,
06-Oct-06,E,yes,out,11,2,0,,,39,0,0,0,1,0,0,0,0,2.777777778,0.477121255,0,1.602059991,0,0.167448079,,,,,,,,,
06-Oct-06,F,yes,out,12,2,1,,,13,23,0.18,0,3.36,63.88888889,0.5,0,64.38888889,9.333333333,0.477121255,0.301029996,1.146128036,0.931350986,0.310468789,,,,,,,,,
06-Oct-06,A,yes,con,13,0,0,6,6,21,0,0,0,0.18,0,0,0,0,0.5,0,0,1.342422681,0,0.070769737,2,0.5,,,,,,,
06-Oct-06,B,yes,con,14,6,2,7,7,17,0,0,0,3.18,0,0,0,0,8.833333333,0.84509804,0.477121255,1.255272505,0,0.301768485,-1,-0.125,,,,,,,
06-Oct-06,C,yes,con,15,3,6,5,5,27,0,0,0,0.54,0,0,0,0,1.5,0.602059991,0.84509804,1.447158031,0,0.122782759,-3,-0.375,,,,,,,
06-Oct-06,D,yes,con,16,2,1,4,4,18,0,0,0,0,0,0,0,0,0,0.477121255,0.301029996,1.278753601,0,0,2,1,,,,,,,
06-Oct-06,E,yes,con,17,2,1,0,0,3,0,0,0,4.18,0,0,0,0,11.61111111,0.477121255,0.301029996,0.602059991,0,0.34771538,-2,-1,,,,,,,
06-Oct-06,F,yes,con,18,8,18,2,2,4,0,0,0,2,0,0,0,0,5.555555556,0.954242509,1.278753601,0.698970004,0,0.237941125,2,#DIV/0!,,,,,,,
06-Oct-06,A,no,in,19,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
